token,model,logprob_sum,count
775,delphi-llama2-100k,-5059.705024719238,1058
1820,delphi-llama2-100k,-2512.8491899967194,559
1260,delphi-llama2-100k,-5797.3313945531845,1176
605,delphi-llama2-100k,-4158.309886932373,575
516,delphi-llama2-100k,-405.7205851152539,138
809,delphi-llama2-100k,-12846.751116514206,3052
764,delphi-llama2-100k,-11263.924876451492,3650
645,delphi-llama2-100k,-17790.848513484,4870
2349,delphi-llama2-100k,-1931.392012000084,338
653,delphi-llama2-100k,-20762.339582547545,5368
909,delphi-llama2-100k,-10092.528188765049,2507
846,delphi-llama2-100k,-11300.915365815163,2956
1047,delphi-llama2-100k,-1175.2865678071976,161
266,delphi-llama2-100k,-5593.6918564855005,6481
301,delphi-llama2-100k,-9176.896871061843,7651
2486,delphi-llama2-100k,-2028.4637231826782,282
1268,delphi-llama2-100k,-3669.2381577417254,1138
2091,delphi-llama2-100k,-1512.3486575484276,448
955,delphi-llama2-100k,-8390.048870801926,1988
1636,delphi-llama2-100k,-3166.935896754265,653
1549,delphi-llama2-100k,-2928.251664698124,750
915,delphi-llama2-100k,-1060.1276593208313,117
932,delphi-llama2-100k,-597.0804397240281,704
759,delphi-llama2-100k,-7308.42890083231,2739
1166,delphi-llama2-100k,-4633.856747150421,711
2211,delphi-llama2-100k,-2030.6029212474823,346
976,delphi-llama2-100k,-9183.460240125656,2071
1463,delphi-llama2-100k,-4652.948447525501,978
1474,delphi-llama2-100k,-1795.355498845689,988
2272,delphi-llama2-100k,-896.7507284246385,348
673,delphi-llama2-100k,-19810.950978577137,5008
1005,delphi-llama2-100k,-4520.86322221905,1199
538,delphi-llama2-100k,-31538.67856580019,8657
824,delphi-llama2-100k,-8354.322253774852,2912
923,delphi-llama2-100k,-11138.935138344765,2303
1465,delphi-llama2-100k,-3434.0721442997456,875
1930,delphi-llama2-100k,-242.83840324170887,187
1982,delphi-llama2-100k,-2785.8523013591766,357
980,delphi-llama2-100k,-637.5889285579324,285
807,delphi-llama2-100k,-9450.391783382744,3169
